Clothing ID,Title,Review Text,Rating,Recommendation_Text,Clean_Text
1003,"Loved, but returned","The colors weren't what i expected either. the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.",4,"Loved, but returned The colors weren't what i expected either. the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.",loved returned color werent expected either dark blue much vibrant couldnt find anything really go fabric thick good quality nice weight movement skirt wasnt end
684,Great shirt!!!,I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,5,Great shirt!!! I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,great shirt several goodhyouman shirt get many compliment especially one say forehead kiss underrated dont hesitate buy shirt wont sorry
4,Great layering piece,"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,"Great layering piece This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",great layering piece sweater comfy classic balance quirky handknit look beautiful color practical fit bit cropped boxy part style others mentioned gap knit make seethrough opinion make perfect layering like longer camisole showing underneath wearing little dress warm still thin enough fit jacket coat
1060,,Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,5, Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,beautifully made pant trend flared crop much cuter person love
1002,,"This is a comfortable skirt that can span seasons easily. while not the most exciting design, it is a good work skirt that can be paired with many tops.",4," This is a comfortable skirt that can span seasons easily. while not the most exciting design, it is a good work skirt that can be paired with many tops.",comfortable skirt span season easily exciting design good work skirt paired many top
862,,Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.,5, Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.,great casual top flare look cute grey pilcro stet jean flattering peplum back nice cut shoulder neckline
910,Soft & lovely,"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",5,"Soft & lovely This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",soft lovely poncho cute love plaid check design color look like sorbet cream pair well turtleneck jean pencil skirt heel love look fall roll right spring great buy
89,Some things you should know...,"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",4,"Some things you should know... First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",thing know first thermal naturally didnt expect super sheer really sheer light fabric like prepared considering might run walk around house second large ordered size nice oversized fit pound wouldnt want go larger along sheer fabric easily stretched dont mind case finally color look white monitor show colorful blue dot
823,,"Very comfortable, material is good, cut out on sleeves flattering",5," Very comfortable, material is good, cut out on sleeves flattering",comfortable material good cut sleeve flattering
1104,,"Love the color and style, but material snags easily",3," Love the color and style, but material snags easily",love color style material snag easily
368,,"I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay, but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store, i would have passed over it. however, i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies, though!",2," I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay, but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store, i would have passed over it. however, i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies, though!",pregnant thought would great sleep bra soft fit okay zero support shape would buy b cup smaller get away without support would seen store would passed however lazy return wearing comfortable thats redeeming quality would recommend larger chested lady though
1078,Great summer fabric!,"I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",3,"Great summer fabric! I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",great summer fabric really wanted work ala strange fit strap would stay weird fit breast worked standing minute sat fell shoulder fabric beautiful loved pocket
845,"Cute, but massive sweep","This top is so cute, but it is massively babydoll shaped (a- line) which is not apparent from the pictures. i measured the xs i have and the chest is about 42"" and sweep is over 70"". i would definitely keep this top if it hung straighter. the craftsmanship is lovely and fabric is so natural and handwoven looking. i'm thinking about asking my tailor if she can take the sides in, but that might ruin it as the fabric layout is cut and proportioned to this swing style.",4,"Cute, but massive sweep This top is so cute, but it is massively babydoll shaped (a- line) which is not apparent from the pictures. i measured the xs i have and the chest is about 42"" and sweep is over 70"". i would definitely keep this top if it hung straighter. the craftsmanship is lovely and fabric is so natural and handwoven looking. i'm thinking about asking my tailor if she can take the sides in, but that might ruin it as the fabric layout is cut and proportioned to this swing style.",cute massive sweep top cute massively babydoll shaped line apparent picture measured x chest sweep would definitely keep top hung straighter craftsmanship lovely fabric natural handwoven looking im thinking asking tailor take side might ruin fabric layout cut proportioned swing style
822,Short and boxy,"Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone, especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s",2,"Short and boxy Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone, especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s",short boxy designer keep making crop top cant imagine would flattering anyone especially someone average height well endowed top looked like football player pattern fabric gorgeous like tall super tiny fit xx may work fit small huge almost bigger bottom top weird cut cami underneath ride show
850,Beautiful design,"I have a short torso and this works well for me. 34c, bought the 0. there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way. definitely doesn't hang and have extra fabric like on the model. 

zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric.

unlike another reviewer, i found it went really well with navy pants and i wore it to a business meeting under a blazer. wi",5,"Beautiful design I have a short torso and this works well for me. 34c, bought the 0. there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way. definitely doesn't hang and have extra fabric like on the model. 

zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric.

unlike another reviewer, i found it went really well with navy pants and i wore it to a business meeting under a blazer. wi",beautiful design short torso work well c bought there much stretch fabric fitted chest uncomfortable way definitely doesnt hang extra fabric like model zipper go almost way bottom easier get make lack stretch n fabric unlike another reviewer found went really well navy pant wore business meeting blazer wi
866,,"I love this top. it is loose and comfortable. it is not sheer so you don't need a cami. it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.",4," I love this top. it is loose and comfortable. it is not sheer so you don't need a cami. it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.",love top loose comfortable sheer dont need cami run little large size want tailored fit criticism catch sharp jewelry belt pull careful
1081,,I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. i was surprised how much cuter it is on than on hanger. i sized down to get a more fitting look and really made a difference for me in style. i was not a fan of the way it looked so loose on model. it looks really cute fitted and a bit sexy even. it is lined and very comfy and can be dressed up a but for work with a cardi. i believe i will get a lot of wear,5, I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. i was surprised how much cuter it is on than on hanger. i sized down to get a more fitting look and really made a difference for me in style. i was not a fan of the way it looked so loose on model. it looks really cute fitted and a bit sexy even. it is lined and very comfy and can be dressed up a but for work with a cardi. i believe i will get a lot of wear,passed dress many time store finally tried today wanted casual dress traveling cape surprised much cuter hanger sized get fitting look really made difference style fan way looked loose model look really cute fitted bit sexy even lined comfy dressed work cardi believe get lot wear
1082,Runs large in top and waist,"I would have loved this dress if the bust and waist were just a little more fitted. i am 32c and the top was too big. fit perfectly on hips. the lace material means it cannot be easily altered, so i chose to return the dress. i would have definitely kept it if it were a better fit.",4,"Runs large in top and waist I would have loved this dress if the bust and waist were just a little more fitted. i am 32c and the top was too big. fit perfectly on hips. the lace material means it cannot be easily altered, so i chose to return the dress. i would have definitely kept it if it were a better fit.",run large top waist would loved dress bust waist little fitted c top big fit perfectly hip lace material mean cannot easily altered chose return dress would definitely kept better fit
836,Obsessed,I usually size up with this brand. small was perfect for me at 135lbs. this top has a luxurious but casual feel and beautiful. i am obsessed and want to wear it everyday. it wears a little long and drapey but a little tight where it rolls up in the arms.,5,Obsessed I usually size up with this brand. small was perfect for me at 135lbs. this top has a luxurious but casual feel and beautiful. i am obsessed and want to wear it everyday. it wears a little long and drapey but a little tight where it rolls up in the arms.,obsessed usually size brand small perfect lb top luxurious casual feel beautiful obsessed want wear everyday wear little long drapey little tight roll arm
1072,Elegant classic dress,"I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit. i'm 5'1"" -112lbs so dress hit rt below knee -will have it hemmed up a bit do not so overwhelming.

this dress looks stunning on! great vibrant color ( i have dark hair) makes this classic elegant dress look contemporary and stylish. when i tried it on in store, salesperson and others who happen to see it on me raved and told me to grab it! i did and am glad.

i plan to wear it this spring for my daughte",5,"Elegant classic dress I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit. i'm 5'1"" -112lbs so dress hit rt below knee -will have it hemmed up a bit do not so overwhelming.

this dress looks stunning on! great vibrant color ( i have dark hair) makes this classic elegant dress look contemporary and stylish. when i tried it on in store, salesperson and others who happen to see it on me raved and told me to grab it! i did and am glad.

i plan to wear it this spring for my daughte",elegant classic dress usually petite since dress come petite tried fit im lb dress hit rt knee hemmed bit overwhelming dress look stunning great vibrant color dark hair make classic elegant dress look contemporary stylish tried store salesperson others happen see raved told grab glad plan wear spring daughte
863,,Loved this top. great design. comfortable and unique. soft material,5, Loved this top. great design. comfortable and unique. soft material,loved top great design comfortable unique soft material
1133,Cute parka!,"The rest of the reviewers are right about the color being in accurately pictured. i ordered the dark orange color and i recieved more of a dark cedar brown colored jacket. the print is great, i love it! it's so different than any other jackets ive seen. while the jacket is ã¼ber cute, it is a bit bulky (though the waist tie helps with that) and its not heavy winter appropriate ( it's not waterproof or heavily insulated). for your average winter day though, it will be a fun option! the removable v",5,"Cute parka! The rest of the reviewers are right about the color being in accurately pictured. i ordered the dark orange color and i recieved more of a dark cedar brown colored jacket. the print is great, i love it! it's so different than any other jackets ive seen. while the jacket is ã¼ber cute, it is a bit bulky (though the waist tie helps with that) and its not heavy winter appropriate ( it's not waterproof or heavily insulated). for your average winter day though, it will be a fun option! the removable v",cute parka rest reviewer right color accurately pictured ordered dark orange color recieved dark cedar brown colored jacket print great love different jacket ive seen jacket ã¼ber cute bit bulky though waist tie help heavy winter appropriate waterproof heavily insulated average winter day though fun option removable v
861,Casual & unique tee,"I received this shirt in my typical xs and it fits perfectly. i?m not crazy in love with it but i also don?t dislike. the shirt is on the thin side. do i need to wear a cami underneath it, no. my concern is holes. it does remind me of a material that could develop some holes after some wear and washes. with that being said i?ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing. the length is fine and i do like the slits in front?it adds a little dim",3,"Casual & unique tee I received this shirt in my typical xs and it fits perfectly. i?m not crazy in love with it but i also don?t dislike. the shirt is on the thin side. do i need to wear a cami underneath it, no. my concern is holes. it does remind me of a material that could develop some holes after some wear and washes. with that being said i?ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing. the length is fine and i do like the slits in front?it adds a little dim",casual unique tee received shirt typical x fit perfectly im crazy love also dont dislike shirt thin side need wear cami underneath concern hole remind material could develop hole wear wash said ill wash shirt cold water hang dry hopefully prevent hole developing length fine like slit frontit add little dim
966,,Great look and you can wear this vest with almost everything . i normally wear a small but they only had mediums and it fit fine( i like it tied). this will stay in my closet all year round . it does look like it will wrinkle easily but that doesn't bother me . a must buy !,5, Great look and you can wear this vest with almost everything . i normally wear a small but they only had mediums and it fit fine( i like it tied). this will stay in my closet all year round . it does look like it will wrinkle easily but that doesn't bother me . a must buy !,great look wear vest almost everything normally wear small medium fit fine like tied stay closet year round look like wrinkle easily doesnt bother must buy
1196,,"This is a great pull over dress that can easily be dressed to wear to work, to a bbq, or to happy hour. i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely. the only thing i would note is the neckline was slightly higher on me than for the model.",5," This is a great pull over dress that can easily be dressed to wear to work, to a bbq, or to happy hour. i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely. the only thing i would note is the neckline was slightly higher on me than for the model.",great pull dress easily dressed wear work bbq happy hour large chest sometimes make fit look like tent fabric drape nicely thing would note neckline slightly higher model
923,"Lovely top, not lovely shape","I was so excited to try out this top since it was such a bargain and neutral. unfortunately, the shape is ""a"" line and accentuates the hip area a bit more than i find flattering. so, it will be returned.",3,"Lovely top, not lovely shape I was so excited to try out this top since it was such a bargain and neutral. unfortunately, the shape is ""a"" line and accentuates the hip area a bit more than i find flattering. so, it will be returned.",lovely top lovely shape excited try top since bargain neutral unfortunately shape line accentuates hip area bit find flattering returned
126,Feminine alternative to your shapeless puffer,I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,4,Feminine alternative to your shapeless puffer I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,feminine alternative shapeless puffer obsessed peplum coat one usually see shape extremely unflattering excited arrive quite nice look feminine coat coat run true shirt size want coat returning size want wear sweater least maybe thicker shirt especially winter fall fabric decent weigh
1008,Love. love. love this skirt!!,"The silhouette and length of this skirt and length are flattering, classic and comfortable! the colors and weight of this skirt make it versatile - could be worn year-round (so long as it's not 100 degrees out - there is a bit of weight to it). it's one of my favorite pieces in my closet. can be styled 20 different ways. pair with a higher-end tee, tank, denim jacket or body-hugging sweater. i sized down.",5,"Love. love. love this skirt!! The silhouette and length of this skirt and length are flattering, classic and comfortable! the colors and weight of this skirt make it versatile - could be worn year-round (so long as it's not 100 degrees out - there is a bit of weight to it). it's one of my favorite pieces in my closet. can be styled 20 different ways. pair with a higher-end tee, tank, denim jacket or body-hugging sweater. i sized down.",love love love skirt silhouette length skirt length flattering classic comfortable color weight skirt make versatile could worn yearround long degree bit weight one favorite piece closet styled different way pair higherend tee tank denim jacket bodyhugging sweater sized
829,Pretry top,"Perfect for work or going out. i layered this with the reversible tank in medium pink so it would be work appropriate. it did not feel scratchy to me, maybe because i layered it. great buy especially with the discounts. feel like i lucked out.",5,"Pretry top Perfect for work or going out. i layered this with the reversible tank in medium pink so it would be work appropriate. it did not feel scratchy to me, maybe because i layered it. great buy especially with the discounts. feel like i lucked out.",pretry top perfect work going layered reversible tank medium pink would work appropriate feel scratchy maybe layered great buy especially discount feel like lucked
828,,"It's a pretty top, but it runs very short. the back is also pretty see through so i'm not sure i will keep it. it's called off the shoulder but it is so tight when you try and actually wear it off the shoulder. great design, just not sure i will keep it due to length",4," It's a pretty top, but it runs very short. the back is also pretty see through so i'm not sure i will keep it. it's called off the shoulder but it is so tight when you try and actually wear it off the shoulder. great design, just not sure i will keep it due to length",pretty top run short back also pretty see im sure keep called shoulder tight try actually wear shoulder great design sure keep due length
1011,Cute skirt!,I purchased this skirt at retailer store in texas. i fell in love since i saw it. the fabric is nice and the colors are pretty and cheerful for this spring/summer !! and it has pockets on the sides! don't we love pockets? very practical and lightweight,5,Cute skirt! I purchased this skirt at retailer store in texas. i fell in love since i saw it. the fabric is nice and the colors are pretty and cheerful for this spring/summer !! and it has pockets on the sides! don't we love pockets? very practical and lightweight,cute skirt purchased skirt retailer store texas fell love since saw fabric nice color pretty cheerful springsummer pocket side dont love pocket practical lightweight
523,Australian sizing!!,So  disappointed that no where in the limiting did it mention this suit is australian in size!! i ordered the 10 (i'm usually an 8 but that was sold out) and the suit arrives and doesn't even fir over my hips. -- the label clearly says 10 australian us 6!  gutted that i have to return this suit because of this sizing issue.  the suit looks to be well made and the design is adorable of it only for.,3,Australian sizing!! So  disappointed that no where in the limiting did it mention this suit is australian in size!! i ordered the 10 (i'm usually an 8 but that was sold out) and the suit arrives and doesn't even fir over my hips. -- the label clearly says 10 australian us 6!  gutted that i have to return this suit because of this sizing issue.  the suit looks to be well made and the design is adorable of it only for.,australian sizing disappointed limiting mention suit australian size ordered im usually sold suit arrives doesnt even fir hip label clearly say australian u gutted return suit sizing issue suit look well made design adorable
1126,So sad not mine,"Love everything about this beautiful coat except the way it fits on me.  it is just perfect in the shoulders but once it flares out at the bottom, i look like a clown costume.  if i size down it will not fit in my shoulders.  perhaps a tailor can install buckles that match the neckline buckle to the sides of the coat to fold in the flare.  on another note the buckle at the neckline feels very hard and fake, not sure if it's real leather.",4,"So sad not mine Love everything about this beautiful coat except the way it fits on me.  it is just perfect in the shoulders but once it flares out at the bottom, i look like a clown costume.  if i size down it will not fit in my shoulders.  perhaps a tailor can install buckles that match the neckline buckle to the sides of the coat to fold in the flare.  on another note the buckle at the neckline feels very hard and fake, not sure if it's real leather.",sad mine love everything beautiful coat except way fit perfect shoulder flare bottom look like clown costume size fit shoulder perhaps tailor install buckle match neckline buckle side coat fold flare another note buckle neckline feel hard fake sure real leather
1020,Just as pictured,"I bought a petite, size 2. i am 5'3"", 111 lb - it fit perfect with a tiny bit of room. looks just like the one pictured. length on me was about 1 inch lower than the model. very bright with multiple colors. has a nice stretch. very cute.",5,"Just as pictured I bought a petite, size 2. i am 5'3"", 111 lb - it fit perfect with a tiny bit of room. looks just like the one pictured. length on me was about 1 inch lower than the model. very bright with multiple colors. has a nice stretch. very cute.",pictured bought petite size lb fit perfect tiny bit room look like one pictured length inch lower model bright multiple color nice stretch cute
895,Great purchase,This will be perfect for the mild fall weather in texas. it's light weight and i love that the top is a little more fitted and the bottom swings out.,5,Great purchase This will be perfect for the mild fall weather in texas. it's light weight and i love that the top is a little more fitted and the bottom swings out.,great purchase perfect mild fall weather texas light weight love top little fitted bottom swing
670,Fun,These pants are fun! i use them as sleep pants. i had to size up because the waist band was a little tight for comfort.,5,Fun These pants are fun! i use them as sleep pants. i had to size up because the waist band was a little tight for comfort.,fun pant fun use sleep pant size waist band little tight comfort
329,Comfy and adorable!,"I ordered this in xs, i'm 5'4"", around 115lbs, and it fits perfectly. the material is very soft, but not see-through, and the romper is well-made. i wish it came in other colours, i'd buy more!",5,"Comfy and adorable! I ordered this in xs, i'm 5'4"", around 115lbs, and it fits perfectly. the material is very soft, but not see-through, and the romper is well-made. i wish it came in other colours, i'd buy more!",comfy adorable ordered x im around lb fit perfectly material soft seethrough romper wellmade wish came colour id buy
868,Great for summer,"Love this cream sleeveless top....it goes with everything and you can dress it up or down! this will be a go to top all summer long and probably wear thru the fall as well with a layered sweater, if needed. i typically wear small or medium size and got the medium hoping for a little longer length. i am 5'7, 34c, and overall wt. of approx. 128 lbs...it fits very nicely . thank you retailer!",4,"Great for summer Love this cream sleeveless top....it goes with everything and you can dress it up or down! this will be a go to top all summer long and probably wear thru the fall as well with a layered sweater, if needed. i typically wear small or medium size and got the medium hoping for a little longer length. i am 5'7, 34c, and overall wt. of approx. 128 lbs...it fits very nicely . thank you retailer!",great summer love cream sleeveless topit go everything dress go top summer long probably wear thru fall well layered sweater needed typically wear small medium size got medium hoping little longer length c overall wt approx lbsit fit nicely thank retailer
